keyboard,path,targets,touch_target,layoutfile,touch_file,platforms,layers,nondefault_longpress,longpress_beyond_template,flick,multitap,verdict
sil_akebu,release/sil/sil_akebu/source/sil_akebu.kmn,any,yes,yes,yes,tablet,default|shift|symbol|caps|symbol-caps,34,34,0,4,DEVELOPED
sil_akha_act,release/sil/sil_akha_act/source/sil_akha_act.kmn,any,yes,yes,yes,tablet,default|shift|numeric,12,0,0,0,DEFAULT_SCAFFOLD
sil_arabic_phonetic,release/sil/sil_arabic_phonetic/source/sil_arabic_phonetic.kmn,any,yes,yes,yes,tablet,default|shift|numeric,20,20,0,0,DEVELOPED
sil_areare,release/sil/sil_areare/source/sil_areare.kmn,any,yes,yes,yes,phone,default|shift|numeric,2,2,0,0,DEVELOPED
sil_bari,release/sil/sil_bari/source/sil_bari.kmn,any,yes,yes,yes,tablet,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
sil_bengali_phonetic,release/sil/sil_bengali_phonetic/source/sil_bengali_phonetic.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric,44,44,0,0,DEVELOPED
sil_bolivia,release/sil/sil_bolivia/source/sil_bolivia.kmn,any,yes,yes,yes,tablet,default|shift,77,30,0,0,DEVELOPED
sil_boonkit,release/sil/sil_boonkit/source/sil_boonkit.kmn,desktop,no,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_brao,release/sil/sil_brao/source/sil_brao.kmn,any,yes,yes,yes,tablet+phone,default|shift|symbol,0,0,0,0,DEFAULT_SCAFFOLD
sil_bru,release/sil/sil_bru/source/sil_bru.kmn,any,yes,yes,yes,tablet,default|shift|rightalt,0,0,0,0,DEFAULT_SCAFFOLD
sil_buang,release/sil/sil_buang/source/sil_buang.kmn,desktop web,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_bunong,release/sil/sil_bunong/source/sil_bunong.kmn,any,yes,yes,yes,tablet+phone,default|shift|number,24,24,0,0,DEVELOPED
sil_bunong_latn,release/sil/sil_bunong_latn/source/sil_bunong_latn.kmn,web desktop,yes,no,no,,,0,0,0,0,DESKTOP_ONLY
sil_busa,release/sil/sil_busa/source/sil_busa.kmn,any,yes,yes,yes,tablet,default|shift|alt|shift-alt,4,2,0,0,DEVELOPED
sil_bwe_karen,release/sil/sil_bwe_karen/source/sil_bwe_karen.kmn,any,yes,yes,yes,tablet,default|shift|Symbol,10,10,0,0,DEVELOPED
sil_cameroon_azerty,release/sil/sil_cameroon_azerty/source/sil_cameroon_azerty.kmn,any,yes,yes,yes,tablet,default|shift|symbol|rightalt|rightalt-shift|rightalt-caps|caps|symbol-caps,76,76,0,8,DEVELOPED
